[2025-07-04T17:00:02.321763+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-04T18:00:02.940801+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-04T19:00:01.532851+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-04T20:00:02.157686+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-04T21:00:01.662742+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-04T22:00:02.124146+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-04T23:00:01.659914+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T00:00:04.879672+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T01:00:02.479828+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T02:00:02.512628+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T03:00:02.083109+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T04:00:01.562442+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T05:00:02.055508+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T06:00:01.556381+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T07:00:02.074546+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T08:00:02.348697+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T09:00:02.012884+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T10:00:01.912666+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T11:00:01.459864+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T12:00:02.120621+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T13:00:02.309197+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T14:00:01.883981+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T15:00:01.847325+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T16:00:02.462538+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T17:00:01.982024+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T18:00:01.615905+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T19:00:09.765383+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T20:00:03.157850+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T21:00:02.823804+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T22:00:05.270398+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-05T23:00:02.239276+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T00:00:09.058844+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T01:00:02.891412+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T02:00:01.584261+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
